Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap
1,BHP,BHP Group Ltd,$42.98,4.32%,6.76%,-1.58%,-0.27%,Materials,$217.58 B
2,CBA,Commonwealth Bank of Australia,$93.54,-0.21%,6.84%,-12.28%,-6.34%,Financials,$159.62 B
3,CSL,CSL Ltd,$274.03,0.38%,4.18%,1.86%,-4.99%,Health Care,$132 B
4,NAB,National Australia Bank Ltd,$27.79,-0.50%,6.64%,-12.28%,6.39%,Financials,$88.72 B
5,WBC,Westpac Banking Corporation,$19.75,-0.85%,2.92%,-18.02%,-23.51%,Financials,$69.15 B
6,MQG,Macquarie Group Ltd,$167.23,0.58%,3.55%,-8.62%,7.96%,Financials,$64.17 B
7,ANZ,Australia and New Zealand Banking Group Ltd,$22.42,-0.67%,4.82%,-12.70%,-20.47%,Financials,$62.64 B
8,WDS,Woodside Energy Group Ltd,$32.68,4.34%,7.61%,8.43%,45.05%,Energy,$62.05 B
9,FMG,Fortescue Metals Group Ltd,$18.56,3.80%,9.18%,-5.26%,-19.48%,Materials,$57.15 B
10,WES,Wesfarmers Ltd,$43.14,-2.29%,1.75%,-7.68%,-26.24%,Consumer Discretionary,$48.91 B
11,TLS,Telstra Corporation Ltd,$3.93,0.00%,3.15%,0.51%,9.17%,Communication Services,$45.41 B
12,TCL,Transurban Group,$14.52,0.42%,4.24%,0.90%,1.33%,Industrials,$44.59 B
13,WOW,Woolworths Group Ltd,$36.15,0.22%,9.95%,5.80%,-4.49%,Consumer Staples,$43.88 B
14,RIO,RIO Tinto Ltd,$106.92,3.00%,5.25%,-5.71%,-15.18%,Materials,$39.69 B
15,GMG,Goodman Group,$18.99,0.69%,7.35%,-4.33%,-10.13%,Real Estate,$35.48 B
16,STO,Santos Ltd,$7.58,2.71%,3.55%,-8.01%,4.55%,Energy,$25.53 B
17,COL,Coles Group Ltd,$17.87,-0.28%,6.31%,2.11%,5.55%,Consumer Staples,$23.88 B
18,ALL,Aristocrat Leisure Ltd,$34.50,-0.86%,3.08%,-0.38%,-19.31%,Consumer Discretionary,$23.1 B
19,NCM,Newcrest Mining Ltd,$22.37,2.90%,-5.41%,-9.58%,-13.43%,Materials,$19.98 B
20,S32,SOUTH32 Ltd,$4.19,3.71%,3.20%,-11.04%,41.55%,Materials,$19.43 B
21,QBE,QBE Insurance Group Ltd,$12.20,1.16%,8.64%,-1.61%,11.72%,Financials,$18.1 B
22,RHC,Ramsay Health Care Ltd,$73.55,-0.12%,3.00%,-6.20%,15.68%,Health Care,$16.83 B
23,SHL,Sonic Healthcare Ltd,$33.15,0.24%,-0.45%,-9.20%,-11.05%,Health Care,$15.92 B
24,ASX,ASX Ltd,$82.02,0.68%,4.93%,0.56%,5.86%,Financials,$15.88 B
25,BXB,Brambles Ltd,$10.92,0.37%,4.10%,-0.46%,-2.59%,Industrials,$15.14 B
26,REA,REA Group Ltd,$114.47,-2.45%,18.04%,1.54%,-31.22%,Communication Services,$15.12 B
27,CPU,Computershare Ltd,$24.45,0.99%,4.26%,7.05%,43.74%,Information Technology,$14.76 B
28,JHX,James Hardie Industries Plc,$32.44,-1.16%,9.34%,-9.76%,-29.17%,Materials,$14.45 B
29,SCG,Scentre Group,$2.73,1.87%,4.60%,-6.83%,-0.37%,Real Estate,$14.17 B
30,APA,APA Group,$11.84,2.60%,6.09%,2.78%,27.45%,Utilities,$13.97 B
31,SUN,Suncorp Group Ltd,$11.06,-1.51%,3.95%,-9.79%,0.91%,Financials,$13.96 B
32,EDV,Endeavour Group Ltd,$7.58,1.61%,3.69%,4.55%,19.75%,Consumer Staples,$13.58 B
33,COH,Cochlear Ltd,$202.28,-0.30%,4.51%,-7.42%,-19.05%,Health Care,$13.31 B
34,AMC,Amcor Plc,$17.92,0.62%,6.10%,-2.56%,17.90%,Materials,$13.11 B
35,WTC,Wisetech Global Ltd,$39.06,-0.76%,8.23%,-6.26%,24.08%,Information Technology,$12.75 B
36,RMD,Resmed Inc,$30.75,-0.13%,5.85%,7.82%,-5.79%,Health Care,$12.43 B
37,XRO,Xero Ltd,$82.57,-0.67%,9.05%,-5.60%,-39.72%,Information Technology,$12.35 B
38,TPG,TPG Telecom Ltd,$6.16,0.16%,7.69%,6.21%,-0.81%,Communication Services,$11.45 B
39,IAG,Insurance Australia Group Ltd,$4.36,-0.91%,3.56%,-2.46%,-14.34%,Financials,$10.75 B
40,FPH,Fisher & Paykel Healthcare Corporation Ltd,$18.25,-1.08%,2.82%,1.39%,-38.80%,Health Care,$10.54 B
42,DXS,Dexus,$9.50,0.74%,2.04%,-9.52%,-12.60%,Real Estate,$10.22 B
43,ORG,Origin Energy Ltd,$5.93,3.31%,8.81%,-13.30%,25.90%,Utilities,$10.22 B
44,TLC,The Lottery Corporation Ltd,$4.54,-0.44%,0.89%,-5.42%,-3.40%,Consumer Discretionary,$10.11 B
d,AIA,Auckland International Airport Ltd,$6.70,1.36%,2.29%,0.60%,-1.03%,Industrials,$9.87 B
47,REH,Reece Ltd,$14.71,0.20%,7.06%,-3.41%,-37.08%,Industrials,$9.5 B
48,AFI,Australian Foundation Investment Company Ltd,$7.70,1.05%,4.05%,-4.23%,-0.77%,Financials,$9.47 B
49,SGP,Stockland,$3.94,1.03%,6.78%,0.77%,-17.05%,Real Estate,$9.41 B
50,MIN,Mineral Resources Ltd,$49.42,1.46%,2.30%,-19.37%,-4.02%,Materials,$9.35 B
51,MPL,Medibank Private Ltd,$3.29,0.92%,6.13%,3.14%,4.44%,Financials,$9.06 B
52,CWN,Crown Resorts Ltd,$13.09,0.00%,0.00%,1.47%,10.09%,Consumer Discretionary,$8.86 B
53,GPT,GPT Group,$4.59,2.46%,7.75%,-3.57%,-4.77%,Real Estate,$8.79 B
54,SOL,Washington H Soul Pattinson & Company Ltd,$24.25,2.23%,7.11%,-5.53%,-26.69%,Energy,$8.75 B
55,VCX,Vicinity Centres,$1.92,3.50%,3.78%,2.40%,19.26%,Real Estate,$8.74 B
56,NST,Northern Star Resources Ltd,$7.45,6.13%,-7.80%,-14.56%,-25.87%,Materials,$8.68 B
57,QAN,Qantas Airways Ltd,$4.54,-2.16%,2.48%,-16.85%,0.00%,Industrials,$8.56 B
59,LYC,Lynas Rare EARTHS Ltd,$9.34,1.41%,11.32%,-0.43%,70.44%,Materials,$8.43 B
60,MGR,Mirvac Group,$2.12,-0.47%,0.95%,-4.93%,-28.14%,Real Estate,$8.36 B
61,ALD,Ampol Ltd,$34.75,2.03%,8.56%,2.21%,23.53%,Energy,$8.28 B
62,TWE,Treasury Wine Estates Ltd,$11.45,0.26%,5.73%,-2.05%,-1.55%,Consumer Staples,$8.27 B
63,SPK,Spark New Zealand Ltd,$4.36,-1.36%,2.83%,1.16%,-2.68%,Communication Services,$8.16 B
64,IGO,IGO Ltd,$10.47,1.16%,1.36%,-13.61%,38.13%,Materials,$7.93 B
65,ALX,Atlas Arteria,$8.11,0.25%,-0.12%,14.23%,28.12%,Industrials,$7.78 B
66,BSL,Bluescope Steel Ltd,$16.23,0.31%,4.51%,-10.68%,-26.66%,Materials,$7.72 B
67,SEK,Seek Ltd,$21.61,-2.79%,10.48%,-12.33%,-33.22%,Communication Services,$7.67 B
68,WOR,Worley Ltd,$14.47,3.06%,8.07%,-3.28%,22.01%,Energy,$7.58 B
69,YAL,Yancoal Australia Ltd,$5.42,4.23%,7.75%,-10.86%,172.36%,Energy,$7.16 B
70,MCY,Mercury NZ Ltd,$5.17,-1.52%,5.51%,-2.64%,-14.55%,Utilities,$7.14 B
71,PLS,Pilbara Minerals Ltd,$2.39,3.02%,17.16%,-17.87%,65.97%,Materials,$7.11 B
72,AZJ,Aurizon Holdings Ltd,$3.78,-0.53%,-2.33%,-5.03%,1.34%,Industrials,$6.96 B
73,EBO,Ebos Group Ltd,$36.31,-1.55%,4.01%,-0.58%,21.03%,Health Care,$6.88 B
74,AKE,Allkem Ltd,$10.76,-0.46%,9.80%,-23.20%,69.98%,Materials,$6.86 B
75,IEL,Idp Education Ltd,$24.52,-0.61%,12.17%,5.69%,-1.92%,Consumer Discretionary,$6.82 B
76,IPL,Incitec Pivot Ltd,$3.46,0.88%,5.81%,-1.14%,41.80%,Materials,$6.72 B
77,ARG,Argo Investments Ltd,$8.95,0.22%,0.90%,-4.69%,0.90%,Financials,$6.71 B
78,ORI,Orica Ltd,$16.06,0.19%,6.71%,-2.96%,19.32%,Materials,$6.57 B
79,LLC,Lendlease Group,$9.32,0.22%,0.76%,-13.54%,-20.00%,Real Estate,$6.42 B
80,OZL,OZ Minerals Ltd,$18.66,1.08%,-5.81%,-19.40%,-16.66%,Materials,$6.25 B
81,SVW,Seven Group Holdings Ltd,$16.85,0.96%,1.51%,-10.47%,-16.79%,Industrials,$6.12 B
82,DMP,Domino's PIZZA Enterprises Ltd,$69.57,-0.03%,9.91%,1.24%,-41.11%,Consumer Discretionary,$6.02 B
83,CAR,Carsales.com Ltd,$20.76,0.00%,5.54%,6.46%,6.08%,Communication Services,$5.87 B
84,AGL,AGL Energy Ltd,$8.55,4.27%,2.76%,-3.61%,-4.89%,Utilities,$5.75 B
85,CHC,Charter Hall Group,$11.71,1.65%,5.50%,-11.62%,-24.94%,Real Estate,$5.54 B
86,CWY,Cleanaway Waste Management Ltd,$2.60,0.00%,-2.62%,-11.57%,-2.62%,Industrials,$5.36 B
87,ALQ,Als Ltd,$10.99,-2.48%,0.92%,-13.87%,-14.28%,Industrials,$5.32 B
88,BEN,Bendigo and Adelaide Bank Ltd,$9.33,1.08%,6.87%,-12.06%,-10.29%,Financials,$5.27 B
89,IFT,Infratil Ltd,$7.25,0.69%,7.41%,-0.28%,2.55%,Utilities,$5.26 B
90,NXT,NEXTDC Ltd,$11.47,0.09%,13.68%,5.42%,-2.96%,Information Technology,$5.24 B
91,MEZ,Meridian Energy Ltd,$4.11,-0.96%,5.39%,0.24%,-15.78%,Utilities,$5.19 B
92,SDF,Steadfast Group Ltd,$5.10,0.39%,8.74%,0.39%,16.71%,Financials,$4.99 B
93,QUB,QUBE Holdings Ltd,$2.80,-1.41%,0.36%,-6.04%,-9.68%,Industrials,$4.94 B
95,WHC,Whitehaven Coal Ltd,$4.91,2.72%,8.15%,-4.48%,151.15%,Energy,$4.81 B
96,CGF,Challenger Ltd,$7.04,1.59%,10.35%,-2.09%,32.33%,Financials,$4.8 B
97,HVN,Harvey Norman Holdings Ltd,$3.85,-1.03%,3.77%,-11.90%,-26.95%,Consumer Discretionary,$4.8 B
98,PME,Pro Medicus Ltd,$45.61,1.18%,18.19%,11.87%,-19.98%,Health Care,$4.76 B
99,EVN,Evolution Mining Ltd,$2.58,-2.27%,-25.43%,-30.83%,-43.30%,Materials,$4.73 B
100,AWC,Alumina Ltd,$1.55,1.98%,1.65%,-6.93%,-6.08%,Materials,$4.48 B
101,VEA,Viva Energy Group Ltd,$2.88,2.13%,5.50%,-1.37%,43.63%,Energy,$4.47 B
d,BOQ,Bank of Queensland Ltd,$6.84,-1.30%,5.72%,-9.64%,-24.42%,Financials,$4.43 B
105,GQG,GQG Partners Inc,$1.47,5.78%,-1.68%,-9.57%,-33.41%,Financials,$4.33 B
106,JBH,JB Hi-Fi Ltd,$39.01,-3.89%,1.27%,-15.96%,-21.48%,Consumer Discretionary,$4.27 B
107,SQ2,Block Inc,$100.60,-3.18%,19.29%,-14.09%,-43.05%,Information Technology,$4.16 B
109,MTS,Metcash Ltd,$4.18,-2.79%,8.01%,-1.18%,13.28%,Consumer Staples,$4.04 B
110,BPT,Beach Energy Ltd,$1.77,6.97%,13.87%,7.62%,36.82%,Energy,$4.03 B
111,ILU,Iluka Resources Ltd,$9.49,2.60%,8.71%,-11.97%,15.03%,Materials,$4.03 B
112,ALU,Altium Ltd,$28.61,0.35%,12.24%,0.60%,-20.97%,Information Technology,$3.76 B
113,FBU,Fletcher Building Ltd,$4.68,0.21%,10.38%,-5.26%,-32.57%,Industrials,$3.66 B
114,FLT,Flight Centre Travel Group Ltd,$17.97,-2.28%,1.70%,-11.87%,23.51%,Consumer Discretionary,$3.59 B
115,TNE,Technology One Ltd,$10.87,-1.63%,6.05%,4.22%,19.58%,Information Technology,$3.51 B
116,DOW,Downer Edi Ltd,$5.12,0.00%,3.85%,-10.96%,-8.90%,Industrials,$3.46 B
117,NHF,Nib Holdings Ltd,$7.44,0.41%,4.49%,1.09%,16.80%,Financials,$3.42 B
118,UWL,Uniti Group Ltd,$4.96,0.61%,0.81%,0.61%,48.06%,Communication Services,$3.4 B
119,A2M,The a2 Milk Company Ltd,$4.53,1.80%,6.84%,4.86%,-26.34%,Consumer Staples,$3.37 B
120,CLW,Charter Hall Long Wale REIT,$4.64,1.09%,5.70%,-4.53%,-3.53%,Real Estate,$3.35 B
121,NEC,Nine Entertainment Co. Holdings Ltd,$1.95,-0.26%,5.69%,-12.95%,-34.34%,Communication Services,$3.33 B
122,RWC,Reliance Worldwide Corporation Ltd,$4.17,1.21%,10.90%,9.16%,-20.27%,Industrials,$3.29 B
123,SCP,Shopping Centres Australasia Property Group,$2.93,0.69%,6.93%,-1.35%,12.69%,Real Estate,$3.27 B
124,PMV,Premier Investments Ltd,$20.04,-0.89%,-0.40%,-10.09%,-29.14%,Consumer Discretionary,$3.19 B
125,AMP,AMP Ltd,$0.98,-0.51%,-2.01%,-11.36%,-16.67%,Financials,$3.18 B
126,NWL,Netwealth Group Ltd,$12.94,3.03%,16.26%,3.60%,-22.24%,Financials,$3.15 B
127,ORA,Orora Ltd,$3.71,0.82%,1.92%,-4.13%,13.11%,Materials,$3.15 B
128,BLD,Boral Ltd,$2.79,-1.41%,4.49%,-8.82%,-61.99%,Materials,$3.08 B
129,CNU,Chorus Ltd,$6.69,-0.15%,5.69%,2.45%,13.39%,Communication Services,$2.99 B
131,CRN,Coronado Global Resources Inc,$1.78,2.89%,8.21%,-19.82%,113.17%,Materials,$2.98 B
132,NHC,New Hope Corporation Ltd,$3.55,6.61%,10.59%,-6.58%,101.71%,Energy,$2.95 B
133,NIC,Nickel Industries Ltd,$1.08,3.87%,8.04%,-12.60%,8.59%,Materials,$2.94 B
134,ANN,Ansell Ltd,$22.90,0.04%,7.61%,-16.24%,-46.71%,Health Care,$2.92 B
135,BKW,Brickworks Ltd,$19.08,1.01%,7.92%,-7.33%,-23.00%,Materials,$2.9 B
136,CIA,Champion Iron Ltd,$5.60,4.09%,5.46%,-25.23%,-15.02%,Materials,$2.89 B
137,GOZ,Growthpoint Properties Australia,$3.68,1.66%,5.75%,-4.66%,-13.21%,Real Estate,$2.84 B
139,HDN,Homeco Daily Needs REIT,$1.35,-1.47%,3.46%,1.51%,-2.54%,Real Estate,$2.78 B
140,SGM,Sims Ltd,$14.27,0.85%,-1.38%,-19.70%,-13.31%,Materials,$2.78 B
141,NSR,National Storage REIT,$2.32,0.00%,5.46%,-1.70%,14.29%,Real Estate,$2.77 B
142,AVZ,AVZ Minerals Ltd,$0.78,0.00%,0.00%,0.00%,387.50%,Materials,$2.75 B
143,CTD,Corporate Travel Management Ltd,$18.89,-2.98%,-2.18%,-12.91%,-9.62%,Consumer Discretionary,$2.74 B
144,BRG,Breville Group Ltd,$19.24,-0.47%,9.13%,-6.83%,-34.89%,Consumer Discretionary,$2.68 B
145,GOLD,ETFs Metal Securities Australia Ltd,$24.49,-0.61%,-0.73%,1.22%,11.61%,Financials,$2.67 B
146,BWP,BWP Trust,$4.13,1.23%,6.17%,1.23%,-4.84%,Real Estate,$2.65 B
147,APE,Eagers Automotive Ltd,$10.26,0.79%,13.25%,-4.47%,-37.52%,Consumer Discretionary,$2.64 B
148,QUAL,Vaneck MSCI International Quality ETF,$36.23,-0.39%,6.81%,-0.14%,-6.04%,Financials,$2.62 B
149,GNE,Genesis Energy Ltd,$2.49,0.81%,5.06%,1.22%,-19.42%,Utilities,$2.61 B
150,ZIM,Zimplats Holdings Ltd,$24.15,-1.83%,-2.03%,-16.87%,20.75%,Materials,$2.6 B
151,APM,APM Human Services International Ltd,$2.83,2.91%,13.66%,-11.56%,-20.28%,Industrials,$2.6 B
152,SGR,The Star Entertainment Group Ltd,$2.71,-0.73%,5.45%,-9.06%,-25.55%,Consumer Discretionary,$2.58 B
153,MFG,Magellan Financial Group Ltd,$13.68,-1.01%,8.66%,-8.07%,-74.20%,Financials,$2.53 B
154,ARB,ARB Corporation Ltd,$30.78,0.72%,12.58%,-2.10%,-29.37%,Consumer Discretionary,$2.52 B
155,PXA,Pexa Group Ltd,$13.94,1.98%,20.38%,-7.80%,-18.62%,Real Estate,$2.47 B
