,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
0,1,BHP,BHP Group Ltd,Materials,$217.58 B,BHP.AX,-0.27,0.32626304565677444
1,2,CBA,Commonwealth Bank of Australia,Financials,$159.62 B,CBA.AX,-6.34,0.2208045402254956
2,3,CSL,CSL Ltd,Health Care,$132 B,CSL.AX,-4.99,0.243086618348252
3,4,NAB,National Australia Bank Ltd,Financials,$88.72 B,NAB.AX,6.39,0.19468606439300706
4,5,WBC,Westpac Banking Corporation,Financials,$69.15 B,WBC.AX,-23.51,0.21239064435286026
5,6,MQG,Macquarie Group Ltd,Financials,$64.17 B,MQG.AX,7.96,0.25430972887832487
6,7,ANZ,Australia and New Zealand Banking Group Ltd,Financials,$62.64 B,ANZ.AX,-20.47,0.1864093349221732
7,8,WDS,Woodside Energy Group Ltd,Energy,$62.05 B,WDS.AX,45.05,0.3451087096234706
8,9,FMG,Fortescue Metals Group Ltd,Materials,$57.15 B,FMG.AX,-19.48,0.4283492219199861
9,10,WES,Wesfarmers Ltd,Consumer Discretionary,$48.91 B,WES.AX,-26.24,0.22580557766956832
10,11,TLS,Telstra Corporation Ltd,Communication Services,$45.41 B,TLS.AX,9.17,0.16548708449820687
11,12,TCL,Transurban Group,Industrials,$44.59 B,TCL.AX,1.33,0.18216413216004063
12,13,WOW,Woolworths Group Ltd,Consumer Staples,$43.88 B,WOW.AX,-4.49,0.1969878670152593
13,14,RIO,RIO Tinto Ltd,Materials,$39.69 B,RIO.AX,-15.18,0.31457912842369873
14,15,GMG,Goodman Group,Real Estate,$35.48 B,GMG.AX,-10.13,0.2846052148477745
15,16,STO,Santos Ltd,Energy,$25.53 B,STO.AX,4.55,0.3173285308237085
16,17,COL,Coles Group Ltd,Consumer Staples,$23.88 B,COL.AX,5.55,0.17298594420139543
17,18,ALL,Aristocrat Leisure Ltd,Consumer Discretionary,$23.1 B,ALL.AX,-19.31,0.2840458679482474
18,19,NCM,Newcrest Mining Ltd,Materials,$19.98 B,NCM.AX,-13.43,0.291436957414429
19,20,S32,SOUTH32 Ltd,Materials,$19.43 B,S32.AX,41.55,0.35748506326014734
20,21,QBE,QBE Insurance Group Ltd,Financials,$18.1 B,QBE.AX,11.72,0.2791515727070898
21,22,RHC,Ramsay Health Care Ltd,Health Care,$16.83 B,RHC.AX,15.68,0.3079146383222162
22,23,SHL,Sonic Healthcare Ltd,Health Care,$15.92 B,SHL.AX,-11.05,0.2148099905985167
23,24,ASX,ASX Ltd,Financials,$15.88 B,ASX.AX,5.86,0.1906106612923421
24,25,BXB,Brambles Ltd,Industrials,$15.14 B,BXB.AX,-2.59,0.25693557603877315
25,26,REA,REA Group Ltd,Communication Services,$15.12 B,REA.AX,-31.22,0.36132304226726236
26,27,CPU,Computershare Ltd,Information Technology,$14.76 B,CPU.AX,43.74,0.26457380510602335
